kind,clients,repetition,status,errors,completed_requests,throughput_ops_per_sec,p50_latency_us,p95_latency_us,p99_latency_us,server_shutdown,detail
baseline,1,1,ok,0,3000,32519.943,29.209,31.292,34.542,exit_0,
epoll,1,1,ok,0,3000,31806.602,30.167,32.833,35.376,exit_0,
epoll,1,2,ok,0,3000,31609.795,30.167,34.083,38.251,exit_0,
baseline,1,2,ok,0,3000,23410.059,30.416,36.794,84.154,exit_0,
baseline,1,3,ok,0,3000,32051.839,29.291,34.625,39.96,exit_0,
epoll,1,3,ok,0,3000,31303.055,30.208,35.209,37.795,exit_0,
epoll,1,4,ok,0,3000,31717.936,30.083,32.5,36.916,exit_0,
baseline,1,4,ok,0,3000,32930.649,29.167,31.542,34.959,exit_0,
baseline,1,5,ok,0,3000,32779.183,29.458,31.336,34.125,exit_0,
epoll,1,5,ok,0,3000,31715.812,30.167,32.708,34.834,exit_0,
baseline,8,1,ok,0,24000,375710.816,5.583,75.044,150.462,exit_0,
epoll,8,1,ok,0,24000,130703.767,48.542,98.666,109.5,exit_0,
epoll,8,2,ok,0,24000,136404.971,44.666,89.833,104.417,exit_0,
baseline,8,2,ok,0,24000,392163.271,5.792,70.421,137.918,exit_0,
baseline,8,3,ok,0,24000,400163.12,5.583,72.875,142.416,exit_0,
epoll,8,3,ok,0,24000,132253.174,46.083,92.752,106.333,exit_0,
epoll,8,4,ok,0,24000,125497.988,49.667,100.044,110.708,exit_0,
baseline,8,4,ok,0,24000,368561.92,5.5,67.375,133.084,exit_0,
baseline,8,5,ok,0,24000,328106.416,7.792,77.168,140.422,exit_0,
epoll,8,5,ok,0,24000,129887.232,47.208,94.125,105.791,exit_0,
baseline,64,1,ok,0,192000,159751.869,43.333,103.75,141.542,exit_0,
epoll,64,1,ok,0,192000,131926.393,464.083,502.666,934.208,exit_0,
epoll,64,2,ok,0,192000,129673.249,474.167,504.084,952.084,exit_0,
baseline,64,2,ok,0,192000,138513.943,53.375,97.042,141.333,exit_0,
baseline,64,3,ok,0,192000,140389.387,51.583,99.209,138.292,exit_0,
epoll,64,3,ok,0,192000,127494.622,472.625,588.459,962.25,exit_0,
epoll,64,4,ok,0,192000,134680.78,456.0,495.792,916.459,exit_0,
baseline,64,4,ok,0,192000,130542.77,52.042,95.875,163.917,exit_0,
baseline,64,5,ok,0,192000,148762.962,53.084,78.667,105.125,exit_0,
epoll,64,5,ok,0,192000,132823.159,460.333,518.291,931.668,exit_0,
baseline,256,1,ok,0,768000,153371.224,47.209,101.041,137.5,exit_0,
epoll,256,1,ok,0,768000,131374.741,1932.542,2039.417,2266.875,exit_0,
epoll,256,2,ok,0,768000,126958.365,1994.875,2070.959,2647.333,exit_0,
baseline,256,2,ok,0,768000,140792.184,53.75,79.792,113.125,exit_0,
baseline,256,3,ok,0,768000,141282.132,54.084,80.5,113.709,exit_0,
epoll,256,3,ok,0,768000,129787.973,1935.75,2016.833,2364.668,exit_0,
epoll,256,4,ok,0,768000,130507.008,1961.375,2035.375,2236.75,exit_0,
baseline,256,4,ok,0,768000,141482.882,53.5,79.917,113.959,exit_0,
baseline,256,5,ok,0,768000,144867.663,53.417,79.375,113.084,exit_0,
epoll,256,5,ok,0,768000,129335.092,1961.625,2045.333,2606.425,exit_0,
